concept.id,knowledgetag,concept.name,grade,semester
9,5485,여섯,1,1
8,5814,1부터 5까지의 수,1,1
5,5834,수의 순서,1,1
6,5835,1 큰 수와 1 작은 수,1,1
7,5836,두 수의 크기 비교하기,1,1
821,5844,"여러 가지 모양 찾아보기(기둥, 공)",1,1
822,5845,여러 가지 모양 알아보기,1,1
825,5846,여러 가지 모양으로 만들기,1,1
1094,6307,여러 가지 모양 알아보기,1,1
1095,6308,여러 가지 모양 만들어보기,1,1
1861,6409,모으기와 가르기,1,1
1860,6420,덧셈과 뺄셈하기,1,1
1291,6453,길이 비교하기,1,1
1294,6456,담을 수 있는 양 비교하기,1,1
4,6555,몇십 몇 알아보기,1,1
22,6556,50까지 수의 순서,1,1
23,6557,10개씩 묶음의 수가 다를 때,1,1
10,6646,99까지의 수 쓰고 읽기,1,2
11,6647,수의 순서 알아보기,1,2
26,6648,수의 크기 비교하기,1,2
12,6649,짝수와 홀수 알아보기,1,2
177,6774,받아 올림이 없는 (몇십 몇)\\n+ (몇),1,2
175,6775,받아 올림이 없는 (몇십)+(몇십),1,2
178,6776,받아 올림이 없는 (몇십 몇)\\n+ (몇십 몇),1,2
173,6777,그림을 보고 덧셈하기,1,2
174,6794,그림을 보고 뺄셈하기,1,2
827,6803,"여러 가지 모양 찾아 보기(네모, 세모, 동그라미)",1,2
828,6804,네모 모양 알아 보기,1,2
830,6805,세모 모양 알아 보기,1,2
829,6806,동그라미 모양 알아 보기,1,2
831,6807,여러가지 모양 꾸미기,1,2
187,7070,그림으로 알아보기 (덧셈),1,2
188,7072,덧셈을 하고 규칙 찾기,1,2
189,7073,그림으로 알아보기 (뺄셈),1,2
190,7075,뺄셈을 하고 규칙찾기,1,2
201,7076,10을 이용하여 가르기,1,2
24,7581,첫째(차례를 매길 때),1,1
25,7593,0 (아무것도 없는 것),1,1
36,7595,+'와 '=' 기호를 사용하여 덧셈을 쓰고 읽기,1,1
33,7596,그림 그리기를 이용하여 덧셈하기,1,1
32,7597,수 모으기를 이용하여 덧셈하기,1,1
37,7598,-'와 '=' 기호를 사용하여 뺄셈식을 쓰고 읽기,1,1
34,7599,그림 그리기를 이용하여 뺄셈하기,1,1
35,7600,수 가르기로 이용하여 뺄셈하기,1,1
38,7601,0이 있는 덧셈,1,1
39,7602,0이 있는 뺄셈,1,1
1,7618,10 알아보기,1,1
2,7620,십몇 알아보기,1,1
3,7621,몇십 알아보기,1,1
13,7626,"60, 70, 80, 90",1,2
27,7629,100 알아보기,1,2
28,7790,수의 크기 비교를 기호를 사용하여 나타내기,1,2
180,7797,(몇십 몇) - (몇),1,2
176,7798,(몇십) - (몇십),1,2
179,7799,(몇십 몇) - (몇십 몇),1,2
203,7800,세 수의 덧셈,1,2
204,7801,세 수의 뺄셈,1,2
191,7802,두 수 더하기,1,2
183,7803,10이 되는 더하기,1,2
184,7804,10에서 빼기,1,2
205,7805,10을 만들어 더하기(앞의 두 수를 더해서 10),1,2
206,7806,10을 만들어 더하기(뒤의 두 수를 더해서 10),1,2
1297,7807,몇 시,1,2
1298,7808,몇 시 30분,1,2
644,7809,규칙 찾기,1,2
646,7810,규칙을 찾아 여러 가지 방법으로 나타내기,1,2
645,7811,수 배열에서 규칙 찾기,1,2
192,7812,10을 이용하여 모으기,1,2
186,7813,6+5의 계산,1,2
185,7815,12-5의 계산,1,2
835,7693,오각형 알아보기,2,1
836,7694,육각형 알아보기,2,1
823,7696,쌓은 모양 설명하기,2,1
199,7747,여러 가지 방법으로 덧셈 해 보기,2,1
200,7751,여러 가지 방법으로 뺄셈 해 보기,2,1
1444,7822,분류한 결과 말하기,2,1
14,7912,90보다 10 큰 수,2,1
15,7913,몇백,2,1
16,7914,세 자릿수,2,1
17,7915,927의 각 자리의 숫자가 나타내는 값,2,1
29,7916,뛰어서 세기,2,1
30,7918,세 자릿수의 크기 비교하기,2,1
832,7919,원,2,1
833,7920,삼각형 ,2,1
834,7921,사각형,2,1
882,7922,칠교판,2,1
826,7923,똑같은 모양으로 쌓기,2,1
193,7924,받아 올림이 있는 (두 자릿수)+(한 자릿수),2,1
194,7925,일의 자리에서 받아 올림이 있는 (두 자릿수)+(두 자릿수),2,1
195,7926,십의 자리에서 받아 올림이 있는 (두 자릿수)+(두 자릿수),2,1
196,7927,받아 내림이 있는 (두 자릿수)-(한 자릿수),2,1
197,7928,받아 내림이 있는 (몇십)-(몇십 몇),2,1
198,7929,받아 내림이 있는 (두 자릿수)-(두 자릿수),2,1
202,7930,덧셈식을 뺄셈식으로 나타내기,2,1
208,7932,"덧셈식, 뺄셈식에서 □의 값 구하기",2,1
207,7933,세 수의 계산,2,1
1305,7934,1 cm,2,1
1306,7935,자를 이용하여 길이 재는 법,2,1
1311,7936,자로 길이 재기,2,1
1309,7937,길이 어림하기,2,1
1443,7938,분류하기,2,1
1441,7939,기준에 따라 분류하기,2,1
1442,7940,분류하여 세어보기,2,1
209,7941,여러 가지 방법으로 세기,2,1
210,7942,묶어세기,2,1
211,7943,몇의 몇 배,2,1
212,7944,곱셈식,2,1
213,7945,곱셈식으로 나타내기,2,1
1862,8001,몇천,2,2
19,8002,네 자릿수,2,2
20,8003,각 자리의 숫자가 나타내는 값,2,2
21,8004,뛰어 세기,2,2
31,8005,네 자릿수의 크기 비교하기,2,2
214,8006,2의 단 곱셈구구,2,2
215,8014,5의 단 곱셈구구,2,2
216,8015,3의 단 곱셈구구,2,2
217,8016,6의 단 곱셈구구,2,2
218,8017,4의 단 곱셈구구,2,2
219,8018,8의 단 곱셈구구,2,2
220,8019,7의 단 곱셈구구,2,2
221,8020,9의 단 곱셈구구,2,2
222,8021,1의 단 곱셈구구,2,2
223,8022,0의 곱,2,2
224,8023,곱셈표 만들기,2,2
18,8027,100이 10개인 수,2,2
1447,8091,표와 그래프로 나타내기,2,2
647,8092,덧셈표에서 규칙찾기,2,2
648,8093,곱셈표에서 규칙찾기,2,2
649,8094,색깔에서 규칙찾기,2,2
650,8095,모양에서 규칙찾기,2,2
651,8096,쌓은 모양에서 규칙찾기,2,2
652,8097,수와 규칙이 있는 생활 속이 예,2,2
225,8122,곱셈구구를 이용하여 문제 해결하기,2,2
1308,8123,1 m,2,2
1307,8124,줄자를 이용하여 길이를 재는 방법,2,2
1312,8125,길이의 합 구하기,2,2
1313,8126,길이의 차 구하기,2,2
1310,8127,길이 어림하기,2,2
1299,8129,5분 단위의 시각 읽어 보기,2,2
1300,8130,1분 단위의 시각 읽어 보기,2,2
1301,8131,여러 가지 방법으로 시각 읽어 보기,2,2
1302,8132,1시간,2,2
1303,8133,하루의 시간,2,2
1304,8134,달력,2,2
1445,8135,자료를 보고 표로 나타내기,2,2
1446,8136,자료를 조사하여 표로 나타내기,2,2
1450,8137,그래프로 나타내는 방법,2,2
1863,8138,표와 그래프의 편리한 점,2,2
182,307,받아 내림이 없는 $(세 자릿수)-(세 자릿수)$,3,1
229,308,받아 내림이 한 번 있는 $(세 자릿수)-(세 자릿수)$,3,1
230,309,받아 내림이 두 번 있는 $(세 자릿수)-(세 자릿수)$,3,1
837,331,선분,3,1
840,332,각,3,1
842,339,직각삼각형,3,1
843,342,직사각형,3,1
844,346,정사각형,3,1
248,351,나눗셈,3,1
252,355,곱셈과 나눗셈의 관계,3,1
249,363,뺄셈식을 이용하여 나눗셈식으로 나타내기,3,1
253,365,나눗셈의 몫을 곱셈식에서 구하기,3,1
254,371,나눗셈의 몫을 곱셈구구로 구하기,3,1
231,373,$(몇십)\\times(몇)$,3,1
232,405,올림이 없는 $(몇십 몇)\\times(몇)$,3,1
233,407,십의 자리에서 올림이 있는  $(몇십 몇)\\times(몇)$,3,1
234,409,일의 자리에서 올림이 있는 $(몇십 몇)\\times(몇)$,3,1
235,411,십의 자리와 일의 자리에서 올림이 있는 $(몇십 몇)\\times(몇)$,3,1
1320,429,몇 cm 몇 mm와 몇 mm로 나타내기,3,1
1319,436,길이와 거리를 어림하기,3,1
1314,438,1초와 60초,3,1
1316,439,시간의 덧셈과 뺄셈,3,1
1315,443,"시간의 덧셈과 뺄셈 (받아 올림, 받아 내림이 있을 때)",3,1
50,447,똑같이 나누기,3,1
51,452,분수,3,1
52,458,"분수, 부분과 전체",3,1
62,461,분모가 같은 분수의 크기 비교,3,1
63,464,단위분수,3,1
64,465,단위분수의 크기 비교,3,1
68,471,소수와 소수점,3,1
69,475,자연수와 소수로 이루어진 소수,3,1
73,481,소수의 크기 비교,3,1
240,547,$(몇십)\\times(몇십)$,3,2
241,549,$(몇십 몇)\\times(몇십)$,3,2
242,554,올림이 한 번 있는 $(몇십 몇)\\times(몇십 몇)$,3,2
243,559,올림이 여러 번 있는 $(몇십 몇)\\times(몇십 몇)$,3,2
247,574,곱셈의 활용,3,2
855,1707,"원의 중심, 반지름, 지름",3,2
856,1720,원의 성질,3,2
862,1721,컴퍼스를 이용하여 원 그리기,3,2
863,1722,원을 이용하여 여러 모양을 그리기,3,2
53,1726,분수로 나타내기,3,2
54,1727,자연수에 대한 분수만큼은 얼마인지 알아보기,3,2
55,1728,길이에 대한 분수만큼은 얼마인지 알아보기,3,2
56,1872,진분수,3,2
59,1873,대분수,3,2
58,1874,가분수,3,2
57,1875,자연수,3,2
60,1876,대분수를 가분수로 나타내기,3,2
61,1877,가분수를 대분수로 나타내기,3,2
65,1878,분모가 같은 가분수의 크기 비교,3,2
67,1880,분모가 같은 가분수와 대분수의 크기 비교,3,2
1324,1933,몇 L 몇 mL와 몇 mL로 나타내기,3,2
1322,1934,들이의 어림,3,2
1325,1935,들이의 덧셈과 뺄셈,3,2
1328,1961,몇 kg 몇 g과 몇 g으로 나타내기,3,2
1327,1962,무게의 어림,3,2
1330,1963,무게의 덧셈과 뺄셈,3,2
1448,1982,표,3,2
1449,1983,자료를 수집하여 표로 나타내는 방법,3,2
1451,1984,그림그래프,3,2
1452,1985,그림그래프로 나타내기,3,2
181,7307,받아 올림이 없는 $(세자릿수)+(세자릿수)$,3,1
226,7308,받아 올림이 한 번 있는 $(세자릿수)+(세자릿수)$,3,1
227,7309,받아 올림이 두 번 있는 $(세자릿수)+(세자릿수)$,3,1
228,7310,받아 올림이 세 번 있는 $(세자릿수)+(세자릿수)$,3,1
250,7333,똑같이 나누어 한 부분의 크기 알아보기,3,1
251,7334,같은 양이 몇 번 들어 있는지 알아보기,3,1
236,7636,올림이 없는 $(세자릿수)\\times(한자릿수)$,3,2
237,7637,일의 자리에서 올림이 있는 $(세자릿수)\\times(한자릿수)$,3,2
238,7653,"십의 자리, 백의 자리에서 올림이 있는 $(세자릿수)\\times(한자릿수)$",3,2
255,7690,내림이 없는 $(몇십)\\div(몇)$,3,2
256,7691,내림이 있는 $(몇십)\\div(몇)$,3,2
257,7781,내림이 없는 $(몇십 몇)\\div(몇)$의 계산,3,2
258,7782,내림이 있는 $(몇십 몇)\\div(몇)$의 계산,3,2
262,7788,내림이 없고 나머지가 있는 $(몇십 몇)\\div(몇)$,3,2
263,7789,내림이 있고 나머지가 있는 $(몇십 몇)\\div(몇)$,3,2
259,7817,나머지가 없는 $(세자릿수)\\div(한자릿수)$,3,2
260,7818,나머지가 있는 $(세자릿수)\\div(한자릿수)$,3,2
261,7823,나눗셈을 맞게 계산했는지 확인하기,3,2
861,11186,규칙을 찾아 원 그리기,3,2
