relation_id,from_concept_id,from_knowledgetag,to_concept_id,to_knowledgetag
1,9,5485,24,7581
2,9,5485,1,7618
3,8,5814,63,464
4,8,5814,57,1875
5,8,5814,1861,6409
6,8,5814,24,7581
7,8,5814,25,7593
8,5,5834,11,6647
9,5,5834,22,6556
10,5,5834,57,1875
11,6,5835,29,7916
12,6,5835,5,5834
13,6,5835,25,7593
14,6,5835,7,5836
15,6,5835,22,6556
16,6,5835,27,7629
17,7,5836,26,6648
18,7,5836,31,8005
19,7,5836,62,461
20,7,5836,64,465
21,7,5836,73,481
22,7,5836,30,7918
23,7,5836,6,5835
24,821,5844,822,5845
25,821,5844,825,5846
26,821,5844,1859,5848
27,821,5844,1094,6307
28,821,5844,1095,6308
29,821,5844,826,7923
30,821,5844,823,7696
31,1094,6307,825,5846
32,1094,6307,1095,6308
33,1095,6308,826,7923
34,1095,6308,823,7696
35,1861,6409,35,7600
36,1861,6409,184,7804
37,1861,6409,186,7813
38,1861,6409,185,7815
39,1861,6409,33,7596
40,1861,6409,36,7595
41,1861,6409,32,7597
42,1861,6409,37,7598
43,1861,6409,177,6774
44,1861,6409,175,6775
45,1861,6409,178,6776
46,1861,6409,173,6777
47,1861,6409,174,6794
48,1861,6409,192,7812
49,1861,6409,201,7076
50,1861,6409,34,7599
51,1860,6420,193,7924
52,1860,6420,194,7925
53,1860,6420,195,7926
54,1860,6420,199,7747
55,1860,6420,196,7927
56,1860,6420,197,7928
57,1860,6420,198,7929
58,1860,6420,200,7751
59,1860,6420,177,6774
60,1860,6420,175,6775
61,1860,6420,178,6776
62,1860,6420,173,6777
63,1860,6420,180,7797
64,1860,6420,176,7798
65,1860,6420,179,7799
66,1860,6420,174,6794
67,1860,6420,203,7800
68,1860,6420,204,7801
69,1860,6420,191,7802
70,1860,6420,183,7803
71,1860,6420,184,7804
72,1860,6420,205,7805
73,1860,6420,206,7806
74,1860,6420,186,7813
75,1860,6420,189,7073
76,1860,6420,185,7815
77,1860,6420,190,7075
78,1860,6420,201,7076
79,1291,6453,1305,7934
80,1294,6456,1441,7939
81,4,6555,20,8003
82,22,6556,10,6646
83,22,6556,16,7914
84,22,6556,17,7915
85,22,6556,29,7916
86,22,6556,11,6647
87,22,6556,18,8027
88,22,6556,1862,8001
89,22,6556,19,8002
90,23,6557,30,7918
