problem_id,concept_id,question_text,image_url,problem_type,choice_1,choice_2,choice_3,choice_4,correct_answer,difficulty
1375,9,'여섯' 다음에 오는 수를 한글로 쓴 것은?,,MCQ,다섯,일곱,여덟,아홉,2,-3
1376,9,6은 몇 개를 나타내는 수입니까?,,MCQ,5개,6개,7개,9개,2,0
1377,9,6은 1이 몇 개 모인 수입니까?,,MCQ,4개,5개,6개,7개,3,3
1378,8,다음 중 '둘'을 숫자로 쓴 것은?,,MCQ,1,2,3,4,2,-3
1379,8,"1, 2, 3, 4, 5 중 가장 작은 수는?",,MCQ,1,2,3,5,1,0
1380,8,1과 5 사이에 있는 수의 개수는?,,MCQ,1개,2개,3개,4개,3,3
1381,5,1부터 9까지 차례로 셀 때 1 다음에 오는 수는?,,MCQ,0,2,3,4,2,-3
1382,5,5 바로 앞에 오는 수는?,,MCQ,3,4,6,7,2,0
1383,5,"다음 수들 8, 5, 6, 7, 9를 작은 수부터 차례로 쓸 때 가장 마지막에 오는 수는?",,MCQ,5,7,8,9,4,3
1384,6,7보다 1만큼 작은 수는?,,MCQ,5,6,8,9,2,-3
1385,6,3보다 1만큼 큰 수와 같은 수는?,,MCQ,2,4,5,6,2,0
1386,6,어떤 수가 6보다 1 큰 수이고 다른 수가 8보다 1 작은 수일 때 두 수는 같습니까?,,MCQ,같다,다르다,모름,알 수 없다,1,3
1387,7,4와 9 중 더 작은 수는?,,MCQ,4,9,같다,모름,1,-3
1388,7,다음 중 8보다 큰 수는?,,MCQ,5,7,8,9,4,0
1389,7,다음 중 5보다 크고 7보다 작은 수는?,,MCQ,4,5,6,7,3,3
1390,821,공처럼 어디로든 잘 굴러가는 모양은?,,MCQ,상자 모양,공 모양,책 모양,액자 모양,2,-3
1391,821,어디에서도 굴러가지 않는 모양은?,,MCQ,공,둥근기둥,상자,야구공,3,0
1392,821,둥근기둥을 옆으로 눕히면 어떤 면에서 잘 굴러갑니까?,,MCQ,둥근 면,평평한 면,굴러가지 않는다,모름,1,3
1393,822,둥근기둥과 가장 비슷한 사물은?,,MCQ,야구공,깡통,상자,책,2,-3
1394,822,다음 중 공 모양에 속하는 것은?,,MCQ,책,액자,야구공,우유갑,3,0
1395,822,다음 중 둥근기둥 모양이 아닌 것은?,,MCQ,깡통,휴지,야구공,큰 양초,3,3
1396,825,다음 중 가장 안정적으로 쌓을 수 있는 모양은?,,MCQ,공,상자,야구공,풍선,2,-3
1397,825,둥근기둥을 세워서 쌓는 것과 옆으로 눕혀 쌓는 것 중 더 안정적인 것은?,,MCQ,세워서,옆으로 눕혀서,같다,둘 다 불안정하다,1,0
1398,825,평평한 면이 많을수록 모양은 쌓기에 어떻습니까?,,MCQ,더 쉽게 쌓인다,더 어렵게 쌓인다,변화가 없다,알 수 없다,1,3
1399,1094,책상은 어떤 모양에 가깝습니까?,,MCQ,공,상자,둥근기둥,별,2,-3
1400,1094,둥근기둥의 옆면은 어떤 모양입니까?,,MCQ,둥근 면,평평한 면,꼭짓점이 있는 면,모름,1,0
1401,1094,두 모양이 모두 평평한 면만 가지고 있는 것은?,,MCQ,공과 둥근기둥,상자와 책,공과 상자,둥근기둥과 책,2,3
1402,1095,가장 잘 쌓이는 모양을 가진 사물은?,,MCQ,공,우유갑,농구공,둥근 풍선,2,-3
1403,1095,둥근기둥을 세워서 그 위에 무엇을 놓으면 가장 잘 쌓이겠습니까?,,MCQ,공,둥근 풍선,평평한 상자,곡선이 많은 모양,3,0
1404,1095,다양한 모양으로 탑을 쌓을 때 가장 아래에 놓아야 할 모양은?,,MCQ,가장 작은 공,가장 큰 상자,눕힌 둥근기둥,작은 둥근 풍선,2,3
1405,1861,2와 6을 모으면 모두 얼마입니까?,,MCQ,6,7,8,9,3,-3
1406,1861,7을 두 수로 가를 때 한 수가 2이면 다른 수는?,,MCQ,4,5,6,9,2,0
1407,1861,6과 3을 모은 수를 4와 가르면 다른 수는?,,MCQ,3,5,6,9,2,3
1408,1860,4+1은 얼마입니까?,,MCQ,3,4,5,6,3,-3
1409,1860,7-3은 얼마입니까?,,MCQ,3,4,5,10,2,0
1410,1860,5+3과 같은 값을 가지는 식은?,,MCQ,9-2,6+2,4+5,10-1,2,3
1411,1291,양말과 우산을 비교했을 때 더 긴 것은?,,MCQ,양말,우산,같다,알 수 없다,2,-3
